iter	Logloss
0	0.6704098429
1	0.6520680331
2	0.632532021
3	0.6153888283
4	0.5997688946
5	0.5836640571
6	0.5698905802
7	0.5569891217
8	0.5441700014
9	0.5317516053
10	0.519961802
11	0.5100213721
12	0.5010836871
13	0.4928554821
14	0.4839750845
15	0.4755703753
16	0.4685912865
17	0.4614313894
18	0.4552817946
19	0.4497052235
20	0.4439409068
21	0.4374747237
22	0.4317662305
23	0.427048563
24	0.4222893812
25	0.417818094
26	0.4137986157
27	0.4092813757
28	0.4054320526
29	0.4017503479
30	0.3980912409
31	0.3952366878
32	0.3921941239
33	0.3891045909
34	0.3863280935
35	0.3841350081
36	0.3814308971
37	0.3788800009
38	0.3763655728
39	0.3743203672
40	0.3718600883
41	0.3695615224
42	0.3676181
43	0.3655477373
44	0.3633391458
45	0.3615465362
46	0.3596824268
47	0.3578808036
48	0.3560692495
49	0.3542104463
50	0.3526867616
51	0.3514462904
52	0.3497528276
53	0.3481781879
54	0.3468295533
55	0.3453679197
56	0.3441831817
57	0.3428421936
58	0.3416340595
59	0.3402871055
60	0.3392341523
61	0.3381522605
62	0.3373480163
63	0.3365007489
64	0.335483322
65	0.3347813192
66	0.3337268683
67	0.3324251972
68	0.3314493432
69	0.3309104227
70	0.3299306659
71	0.329032465
72	0.3281781857
73	0.3272381509
74	0.3264493935
75	0.3259094573
76	0.3250672903
77	0.3242863781
78	0.3235814471
79	0.3229007629
80	0.3222628419
81	0.3214725367
82	0.3207471319
83	0.3200938282
84	0.3193020581
85	0.3185118235
86	0.3178757543
87	0.317275307
88	0.3166157302
89	0.3160239643
90	0.3154232177
91	0.314712643
92	0.3141793237
93	0.313466063
94	0.3127544437
95	0.3123811856
96	0.3119242852
97	0.3116293753
98	0.3111849303
99	0.3106353769
100	0.3100227784
101	0.309671524
102	0.3091242715
103	0.3084162319
104	0.307808666
105	0.307214296
106	0.3066481876
107	0.3062170938
108	0.3058683933
109	0.3053065201
110	0.3048984501
111	0.3042282
112	0.303803056
113	0.3032429551
114	0.3027015837
115	0.3022902025
116	0.3019636322
117	0.3015237254
118	0.3011092614
119	0.3006571924
120	0.3003680515
121	0.3000265739
122	0.2995727839
123	0.2992373794
124	0.2988149578
125	0.2984041399
126	0.2980417861
127	0.2976747856
128	0.2974885293
129	0.2970074024
130	0.2966368717
131	0.296288149
132	0.295989222
133	0.2956890293
134	0.2953896832
135	0.2950644611
136	0.2948910046
137	0.2946891773
138	0.2942552584
139	0.2939152468
140	0.2935589105
141	0.293307872
142	0.2929740997
143	0.2926383307
144	0.2923570017
145	0.2920264134
146	0.2917054501
147	0.2914541844
148	0.2910646122
149	0.2907180389
150	0.2903563774
151	0.2900275819
152	0.2898179895
153	0.2895599074
154	0.2891377241
155	0.2887348701
156	0.2882085584
157	0.2878568165
158	0.2876569519
159	0.2873133448
160	0.2868320759
161	0.2865312256
162	0.2861857818
163	0.2858061327
164	0.2853124097
165	0.2850552583
166	0.2846845571
167	0.2844215008
168	0.2842704446
169	0.2839417229
170	0.2837371079
171	0.2834309019
172	0.283197464
173	0.2829269684
174	0.2826456581
175	0.2823309877
176	0.2821507604
177	0.2818126893
178	0.2814946436
179	0.2812352476
180	0.2809291168
181	0.2806363886
182	0.2803396591
183	0.2800550962
184	0.2799023249
185	0.2797075253
186	0.2794936642
187	0.2792614557
188	0.2790015644
189	0.2787692699
190	0.2784745641
191	0.2783000749
192	0.2780991777
193	0.2779280068
