iter	Passed	Remaining
399	34914	52371
400	35026	52321
401	35116	52238
402	35215	52168
403	35305	52084
404	35393	51998
405	35490	51924
406	35590	51855
407	35684	51777
408	35799	51729
409	35897	51657
410	36049	51662
411	36166	51616
412	36254	51528
413	36344	51443
414	36444	51373
415	36537	51293
416	36639	51224
417	36747	51164
418	36850	51097
419	36958	51038
420	37048	50952
421	37140	50869
422	37237	50794
423	37331	50714
424	37423	50631
425	37508	50539
426	37591	50444
427	37680	50357
428	37767	50269
429	37853	50177
430	37943	50092
431	38036	50010
432	38129	49929
433	38220	49845
434	38310	49759
435	38403	49678
436	38503	49605
437	38599	49527
438	38685	49435
439	38779	49355
440	38860	49258
441	38953	49176
442	39045	49093
443	39134	49005
444	39231	48929
445	39320	48842
446	39421	48769
447	39515	48688
448	39618	48618
449	39723	48551
450	39828	48483
451	39930	48410
452	40044	48353
453	40132	48265
454	40236	48195
455	40345	48131
456	40445	48056
457	40546	47982
458	40652	47915
459	40752	47839
460	40847	47758
461	40955	47692
462	41057	47619
463	41151	47536
464	41255	47465
465	41370	47407
466	41495	47360
467	41596	47284
468	41686	47197
469	41796	47132
470	41901	47061
471	41992	46974
472	42089	46894
473	42228	46861
474	42334	46790
475	42434	46713
476	42530	46631
477	42619	46542
478	42700	46444
479	42787	46352
480	42874	46261
481	42965	46174
482	43057	46088
483	43146	45999
484	43258	45934
485	43389	45889
486	43506	45828
487	43629	45774
488	43728	45696
489	43814	45602
490	43909	45519
491	44020	45452
492	44161	45415
493	44260	45335
494	44365	45261
495	44462	45179
496	44566	45104
497	44667	45026
498	44764	44944
499	44863	44863
500	44960	44780
501	45050	44691
502	45151	44613
503	45247	44528
504	45352	44454
505	45447	44369
506	45545	44288
507	45653	44215
508	45746	44128
509	45837	44039
510	45931	43954
511	46021	43864
512	46107	43770
513	46201	43684
514	46305	43608
515	46400	43522
516	46493	43436
517	46590	43352
518	46677	43259
519	46769	43171
520	46865	43087
521	46951	42993
522	47047	42909
523	47137	42819
524	47241	42742
525	47339	42659
526	47434	42574
527	47527	42487
528	47631	42409
529	47722	42319
530	47826	42242
531	47911	42147
532	47999	42055
533	48103	41978
534	48204	41897
535	48308	41819
536	48400	41731
537	48489	41639
538	48584	41553
539	48664	41455
540	48750	41361
541	48835	41267
542	48921	41173
543	49006	41079
544	49090	40983
545	49177	40890
546	49261	40796
547	49349	40704
548	49431	40607
549	49513	40510
550	49595	40414
551	49691	40329
552	49790	40246
553	49887	40162
554	49971	40067
555	50058	39974
556	50150	39885
557	50236	39792
558	50323	39700
559	50414	39611
560	50501	39518
561	50599	39435
562	50690	39345
563	50775	39252
564	50858	39156
565	50945	39064
566	51031	38971
567	51123	38882
568	51222	38799
569	51323	38718
570	51418	38631
571	51514	38545
572	51610	38459
573	51718	38383
574	51813	38296
575	51912	38213
576	52016	38133
577	52117	38051
578	52216	37967
579	52301	37873
580	52386	37779
581	52476	37689
582	52566	37599
583	52651	37505
584	52739	37413
585	52832	37325
586	52926	37237
587	53006	37140
588	53095	37049
589	53202	36971
590	53291	36879
591	53378	36787
592	53474	36701
593	53571	36616
594	53677	36536
595	53803	36470
596	53914	36394
597	54027	36319
598	54140	36244
599	54249	36166
600	54344	36078
601	54444	35994
602	54539	35907
603	54630	35817
604	54727	35731
605	54812	35636
606	54913	35553
607	55009	35466
608	55115	35385
609	55224	35307
610	55321	35220
611	55412	35130
612	55502	35039
613	55589	34947
614	55676	34854
615	55760	34759
616	55854	34671
617	55951	34585
618	56042	34494
619	56127	34400
620	56207	34304
621	56294	34211
622	56380	34117
623	56462	34022
624	56551	33930
625	56650	33845
626	56739	33753
627	56836	33667
628	56933	33580
629	57031	33494
630	57121	33403
631	57224	33320
632	57320	33232
633	57408	33141
634	57493	33047
635	57583	32956
636	57674	32866
637	57767	32777
638	57862	32688
639	57959	32602
640	58063	32519
641	58166	32435
642	58262	32348
643	58360	32261
644	58449	32170
645	58551	32085
646	58653	32001
647	58751	31914
648	58841	31823
649	58934	31734
650	59020	31640
651	59111	31550
652	59209	31463
653	59321	31384
654	59430	31303
655	59517	31210
656	59602	31116
657	59685	31021
658	59783	30934
659	59881	30848
660	59970	30756
661	60059	30664
662	60147	30572
663	60239	30482
664	60333	30393
665	60425	30303
666	60517	30213
667	60619	30128
668	60704	30034
669	60807	29950
670	60905	29862
671	61000	29773
672	61099	29687
673	61187	29595
674	61270	29500
675	61363	29410
676	61450	29318
677	61535	29224
678	61619	29130
679	61710	29040
680	61800	28948
681	61886	28856
682	61980	28766
683	62066	28673
684	62154	28582
685	62242	28490
686	62333	28399
687	62419	28306
688	62502	28212
689	62581	28116
690	62676	28027
691	62764	27935
692	62850	27842
693	62934	27749
694	63020	27656
695	63097	27559
696	63194	27471
697	63282	27380
698	63369	27287
699	63462	27198
700	63547	27104
701	63633	27012
702	63723	26921
703	63808	26828
704	63892	26735
705	63974	26641
706	64057	26547
707	64146	26456
708	64236	26365
709	64325	26273
710	64411	26181
711	64495	26088
712	64585	25997
713	64670	25904
714	64761	25814
715	64847	25721
716	64934	25629
717	65025	25539
718	65106	25445
719	65188	25351
720	65277	25260
721	65378	25173
722	65463	25080
723	65547	24987
724	65636	24896
725	65722	24804
726	65814	24714
727	65898	24621
728	65985	24529
729	66072	24437
730	66161	24346
731	66247	24254
732	66334	24162
733	66417	24069
734	66509	23979
735	66594	23887
736	66683	23796
737	66769	23703
738	66854	23611
739	66939	23519
740	67022	23426
741	67112	23335
742	67197	23243
743	67287	23152
744	67373	23060
745	67452	22966
746	67539	22874
747	67628	22783
748	67711	22691
749	67793	22597
750	67887	22508
751	67976	22417
752	68058	22324
753	68147	22233
754	68234	22142
755	68317	22049
756	68407	21959
757	68485	21864
758	68570	21772
759	68651	21679
760	68743	21589
761	68827	21497
762	68915	21406
763	69000	21314
764	69087	21222
765	69179	21133
766	69264	21041
767	69344	20947
768	69426	20855
769	69512	20763
770	69596	20671
771	69685	20580
772	69772	20489
773	69857	20397
774	69952	20308
775	70046	20219
776	70138	20129
777	70224	20038
778	70308	19946
779	70392	19854
780	70480	19763
781	70565	19671
782	70653	19580
783	70736	19488
784	70821	19397
785	70904	19304
786	70986	19212
787	71066	19119
788	71152	19028
789	71236	18936
790	71320	18844
791	71403	18752
792	71484	18659
793	71566	18567
794	71651	18476
795	71734	18384
796	71819	18292
797	71901	18200
798	71987	18109
799	72069	18017
800	72158	17927
801	72238	17834
802	72322	17742
803	72409	17652
804	72496	17561
805	72573	17468
806	72667	17378
807	72758	17289
808	72840	17197
809	72923	17105
810	73010	17014
811	73096	16923
812	73181	16832
813	73267	16741
814	73357	16651
815	73447	16561
816	73532	16470
817	73617	16379
818	73706	16289
819	73793	16198
820	73872	16106
821	73965	16016
822	74055	15926
823	74145	15836
824	74234	15746
825	74320	15655
826	74405	15564
827	74491	15474
828	74577	15383
829	74667	15293
830	74750	15202
831	74836	15111
832	74923	15020
833	75009	14929
834	75097	14839
835	75183	14748
836	75260	14656
837	75347	14565
838	75435	14475
839	75537	14388
840	75629	14298
841	75732	14211
842	75833	14123
843	75930	14034
844	76023	13945
845	76134	13858
846	76232	13770
847	76339	13683
848	76437	13594
849	76525	13504
850	76602	13412
851	76691	13322
852	76785	13232
853	76889	13145
854	76984	13055
855	77076	12966
856	77179	12878
857	77289	12791
858	77408	12706
859	77513	12618
860	77618	12530
861	77715	12441
862	77810	12352
863	77902	12262
864	78001	12173
865	78093	12083
866	78176	11992
867	78266	11902
868	78362	11813
869	78474	11726
870	78567	11636
871	78667	11547
872	78752	11456
873	78838	11365
874	78926	11275
875	79014	11184
876	79104	11094
877	79192	11003
878	79282	10913
879	79370	10823
880	79474	10734
881	79569	10645
882	79685	10558
883	79790	10470
884	79898	10382
885	79998	10293
886	80128	10208
887	80229	10119
888	80329	10029
889	80444	9942
890	80540	9852
891	80644	9764
892	80745	9675
893	80860	9587
894	80985	9501
895	81082	9411
896	81192	9323
897	81314	9236
898	81421	9147
899	81543	9060
900	81646	8971
901	81764	8883
902	81925	8800
903	82059	8714
904	82172	8625
905	82274	8536
906	82375	8446
907	82476	8356
908	82572	8266
909	82673	8176
910	82797	8088
911	82908	7999
912	83007	7909
913	83102	7819
914	83193	7728
915	83288	7637
916	83386	7547
917	83482	7457
918	83576	7366
919	83679	7276
920	83784	7186
921	83892	7097
922	83990	7006
923	84087	6916
924	84185	6825
925	84277	6734
926	84372	6644
927	84466	6553
928	84569	6463
929	84663	6372
930	84763	6282
931	84863	6191
932	84959	6101
933	85058	6010
934	85152	5919
935	85254	5829
936	85348	5738
937	85447	5647
938	85543	5557
939	85633	5465
940	85730	5375
941	85823	5284
942	85926	5193
943	86026	5103
944	86119	5012
945	86216	4921
946	86301	4829
947	86393	4738
948	86482	4647
949	86564	4556
950	86656	4464
951	86744	4373
952	86823	4281
953	86907	4190
954	86996	4099
955	87081	4007
956	87177	3917
957	87261	3825
958	87346	3734
959	87430	3642
960	87510	3551
961	87598	3460
962	87685	3369
963	87769	3277
964	87851	3186
965	87940	3095
966	88026	3003
967	88108	2912
968	88195	2821
969	88284	2730
970	88369	2639
971	88452	2548
972	88533	2456
973	88621	2365
974	88710	2274
975	88795	2183
976	88874	2092
977	88962	2001
978	89052	1910
979	89134	1819
980	89216	1727
981	89302	1636
982	89390	1545
983	89477	1454
984	89571	1364
985	89664	1273
986	89747	1182
987	89831	1091
988	89915	1000
989	89999	909
990	90084	818
991	90177	727
992	90267	636
993	90357	545
994	90443	454
995	90524	363
996	90611	272
997	90700	181
998	90792	90
999	90878	0
